title,link,pub_date,category,creator,description,content_html,contents_p,image,comments,guid
“한국 만나면 행운”…월드컵 조 추첨 앞두고 나온 굴욕 평가,https://www.chosun.com/international/international_general/2025/12/04/5X2UY3B37NGVNBHZVVWANLJ5PQ/,"Thu, 04 Dec 2025 00:56:56 +0000",,김자아 기자,,"<img src=""https://www.chosun.com/resizer/v2/QFK6DC4L7NGGTOB5PES2BBS3OY.jpg?auth=ab131c38aff9532dbdf59490ecefb69fbfe273faca007addd197699d1a9ef666&smart=true&width=520&height=293"" alt=""서울월드컵경기장에서 열린 축구대표팀과 파라과이의 평가전에서 그라운드에 나선 홍명보 감독. /조선일보DB"" height=""293"" width=""520""/><p>2026 국제축구연맹(FIFA) 북중미월드컵 조 추첨식을 앞두고, 2022 카타르 월드컵 우승팀인 아르헨티나의 현지 매체가 자국 대표팀이 가장 맞붙기 좋은 국가로 한국을 꼽았다.</p>","2026 국제축구연맹(FIFA) 북중미월드컵 조 추첨식을 앞두고, 2022 카타르 월드컵 우승팀인 아르헨티나의 현지 매체가 자국 대표팀이 가장 맞붙기 좋은 국가로 한국을 꼽았다.",,,https://www.chosun.com/international/international_general/2025/12/04/5X2UY3B37NGVNBHZVVWANLJ5PQ/
"온주완♥방민아, 허례허식 없었다…발리 스몰웨딩 어땠길래",https://www.chosun.com/entertainments/broadcast/2025/12/04/HBRGKNBZHFQTCMJUMEZTEOJWGA/,"Thu, 04 Dec 2025 00:49:00 +0000",,OSEN,,"<img src=""https://www.chosun.com/resizer/v2/MJRGGZLGMI2TMZBYMFSTKMRSME.jpg?auth=7b2d8176952e66088c071199946b7b8abacb7bdbf2c7dae4f9cbe7ba89107b69&smart=true&width=530&height=866"" alt="""" height=""866"" width=""530""/><p>그룹 걸스데이 출신 방민아와 배우 온주완이 발리에서 극비 결혼식을 올린 가운데 두 사람의 럽스타그램을 통해 웨딩 사진이 공개됐다. 화려함과 수많은 하객은 없었지만 그 누구의 결혼식보다도 빛나고 아름다웠다는 반응이 지배적이다.</p>",그룹 걸스데이 출신 방민아와 배우 온주완이 발리에서 극비 결혼식을 올린 가운데 두 사람의 럽스타그램을 통해 웨딩 사진이 공개됐다. 화려함과 수많은 하객은 없었지만 그 누구의 결혼식보다도 빛나고 아름다웠다는 반응이 지배적이다.,https://www.chosun.com/resizer/v2/MJRGGZLGMI2TMZBYMFSTKMRSME.jpg?auth=7b2d8176952e66088c071199946b7b8abacb7bdbf2c7dae4f9cbe7ba89107b69&smart=true&width=530&height=866,,https://www.chosun.com/entertainments/broadcast/2025/12/04/HBRGKNBZHFQTCMJUMEZTEOJWGA/
"해외 IB, 한국 물가상승률 전망 상향... 고환율에 물가 ‘비상’ 관측",https://www.chosun.com/economy/economy_general/2025/12/04/HO4IQWAXUBD2VEZHIHN264PDZ4/,"Wed, 03 Dec 2025 23:39:02 +0000",,강우량 기자,,"<img src=""https://www.chosun.com/resizer/v2/EBLDMTY6HNOVNFCSC4ONXE7LAA.jpg?auth=e2e0f296351b25542f7ad175510b38a94796001b4117786f04d1c9730a245e8e&smart=true&width=2464&height=1586"" alt="" 서울 시내의 주유소에 유가정보가 표시되어 있다./뉴시스"" height=""1586"" width=""2464""/><p>세계 주요 투자은행(IB)들이 한국의 올해와 내년 소비자물가 상승률 전망치를 일제히 높였다. 1400원대에서 고공행진하는 달러 대비 원화 환율로 인해 물가가 뛰어오를 것이란 관측이다.</p>",세계 주요 투자은행(IB)들이 한국의 올해와 내년 소비자물가 상승률 전망치를 일제히 높였다. 1400원대에서 고공행진하는 달러 대비 원화 환율로 인해 물가가 뛰어오를 것이란 관측이다.,,,https://www.chosun.com/economy/economy_general/2025/12/04/HO4IQWAXUBD2VEZHIHN264PDZ4/
김남국 ‘현지 누나’ 인사 청탁에... 與 수석대변인 “범죄는 아니잖아”,https://www.chosun.com/politics/assembly/2025/12/04/DQU5PZUC6ZHIPBGUEWI5PTCTLI/,"Thu, 04 Dec 2025 00:50:39 +0000",,김경필 기자,,"<img src=""https://www.chosun.com/resizer/v2/NQDIGDLXWRMXVGV4CR2425CGOU.jpg?auth=220ced56211c8b194ac403cadf761a4e5b0941f3cc5fec03afb07dbdda25f5fe&smart=true&width=3492&height=2796"" alt=""더불어민주당 박수현 수석대변인. /연합뉴스"" height=""2796"" width=""3492""/><p>김남국 대통령실 디지털소통비서관이 문진석 더불어민주당 의원으로부터 민간 협회장 인사 청탁을 받고 “훈식이 형과 현지 누나에게 추천하겠다”고 답한 대화 내용이 공개된 것에 대해 박수현 민주당 수석대변인은 4일 “범죄 행위와 연관된 성격의 것은 아니다”라며 “당 윤리감찰단에 진상 조사를 지시할 성격(의 일)은 아닌 것 같다”고 말했다.</p>",김남국 대통령실 디지털소통비서관이 문진석 더불어민주당 의원으로부터 민간 협회장 인사 청탁을 받고 “훈식이 형과 현지 누나에게 추천하겠다”고 답한 대화 내용이 공개된 것에 대해 박수현 민주당 수석대변인은 4일 “범죄 행위와 연관된 성격의 것은 아니다”라며 “당 윤리감찰단에 진상 조사를 지시할 성격(의 일)은 아닌 것 같다”고 말했다.,,,https://www.chosun.com/politics/assembly/2025/12/04/DQU5PZUC6ZHIPBGUEWI5PTCTLI/
"충북 실종 여성 살해·은닉... 경찰, 54세 김영우 신상공개 ",https://www.chosun.com/national/incident/2025/12/04/3DXEAAZV6NDPLOMNQXA5R6I5VI/,"Thu, 04 Dec 2025 00:31:59 +0000",,신정훈 기자,,"<img src=""https://www.chosun.com/resizer/v2/OCUJ3F54WNB2FBRA4YV6AZQFBU.png?auth=37cd57fe80888e7266f260bc508e463d01f3cc2160bd5d01f63c854d7796ce19&smart=true&width=480&height=306"" alt="""" height=""306"" width=""480""/><p>청주 장기 실종 여성 살인사건의 범인 김영우(54)의 신상이 4일 공개됐다.</p>",청주 장기 실종 여성 살인사건의 범인 김영우(54)의 신상이 4일 공개됐다.,https://www.chosun.com/resizer/v2/LFWD4LMOXZB5BK3VEOYMPWGUGY.jpg?auth=f0ed21c4815505ee20de00b674eed220aa4e5bdb2dc0d806f34e9801c91e09dd&smart=true&width=181&height=136,,https://www.chosun.com/national/incident/2025/12/04/3DXEAAZV6NDPLOMNQXA5R6I5VI/
[주요경제지표] 2025년 12월 3일자,https://www.chosun.com/economy/stock-finance/2025/12/04/PJH2U4Z5QBD63HS3EZCGLI7R2A/,"Wed, 03 Dec 2025 15:31:00 +0000",,조선일보,,"<img src=""https://www.chosun.com/resizer/v2/3IHTETI7RZGDFP4GYSO4I3GAGY.jpg?auth=15065ab130b9930e349b7f785ce15d126f0680e5f19215978dbe81a70f26a562&smart=true&width=300&height=558"" alt="""" height=""558"" width=""300""/>",,,,https://www.chosun.com/economy/stock-finance/2025/12/04/PJH2U4Z5QBD63HS3EZCGLI7R2A/
"경찰, ‘성추행 의혹’ 장경태 의원 고소인 조사… 진술 확보",https://www.chosun.com/national/national_general/2025/12/04/R32ZA6DQEFGDPLNSYIXK5XR6IU/,"Thu, 04 Dec 2025 00:58:35 +0000",,고유찬 기자,,"<img src=""https://www.chosun.com/resizer/v2/GE3DGY3CGFQTINLBHE3TON3CGM.jpg?auth=9c0cfaea7cc987f03405bd786f29ad1b72d6fd9fe35dd04d37651dec9bfdc402&smart=true&width=3297&height=2198"" alt=""장경태 더불어민주당 의원. /뉴스1"" height=""2198"" width=""3297""/><p>경찰이 더불어민주당 장경태 의원을 준강제추행 혐의로 고소한 여성 비서관을 소환조사했다.</p>",경찰이 더불어민주당 장경태 의원을 준강제추행 혐의로 고소한 여성 비서관을 소환조사했다.,,,https://www.chosun.com/national/national_general/2025/12/04/R32ZA6DQEFGDPLNSYIXK5XR6IU/
“얼간이가 얼마를 지불할까”… 故 매슈 페리에 케타민 공급 의사 징역형,https://www.chosun.com/international/international_general/2025/12/04/MYYTQZBYMFSGIMBVGM4DGNJTMY/,"Thu, 04 Dec 2025 01:03:03 +0000",,배동주 기자(조선비즈), 미국 드라마 ‘프렌즈’ 속 ‘채들러 빙’ 역할로 인기를 끈 배우 고(故) 매튜 페리의 담당 의사가 징역형을 선고받았다. 마약성 약물인 케타민을 불법으로 공급한 혐의다. 3일(현지 시각) AP와 로이터통신 등 외신에 따르면 로스앤젤레스(LA) 연방법원 셔릴린 피스 가넷 판사는 케타민 불법 유통 혐의로 기소된 의사 살바도르 플라센시아(44)에게 징역 2년 6,"<img src=""https://www.chosun.com/resizer/v2/GJRDGYZTMEYTIYZZGI2TIM3DHE.jpg?auth=9a211e903a18b4b928f77969bb3d602e9d44a918ca995f5b4869ceac15a8c136&smart=true&width=647&height=466"" alt=""고(故) 매슈 페리. /AFP연합뉴스"" height=""466"" width=""647""/><p>미국 드라마 ‘프렌즈’ 속 ‘채들러 빙’ 역할로 인기를 끈 배우 고(故) 매튜 페리의 담당 의사가 징역형을 선고받았다. 마약성 약물인 케타민을 불법으로 공급한 혐의다.</p>",미국 드라마 ‘프렌즈’ 속 ‘채들러 빙’ 역할로 인기를 끈 배우 고(故) 매튜 페리의 담당 의사가 징역형을 선고받았다. 마약성 약물인 케타민을 불법으로 공급한 혐의다.,https://www.chosun.com/resizer/v2/GJRDGYZTMEYTIYZZGI2TIM3DHE.jpg?auth=9a211e903a18b4b928f77969bb3d602e9d44a918ca995f5b4869ceac15a8c136&smart=true&width=647&height=466,,https://www.chosun.com/international/international_general/2025/12/04/MYYTQZBYMFSGIMBVGM4DGNJTMY/
"[팔면봉] 12·3 계엄 1년, ‘내란 청산’ 아직 멀었다고 하는 이재명 정부, 사골도 이 정도로 우리면 맛 없다는 말 나올텐데. 외",https://www.chosun.com/opinion/palmyeonbong/2025/12/04/UR6N4L5HX5GELOLFR6GH2CIQSU/,"Wed, 03 Dec 2025 15:25:00 +0000",,조선일보,,"<p>○12·3 계엄 1년, ‘내란 청산’ 아직 멀었다고 하는 이재명 정부, 사골도 이 정도로 우리면 맛 없다는 말 나올텐데.</p><p>○내란특검, 추경호 영장 기각되자 불구속 기소하기로. “국힘 해산” 외치는 누군가 눈치 본 건 아니겠지?</p>","○12·3 계엄 1년, ‘내란 청산’ 아직 멀었다고 하는 이재명 정부, 사골도 이 정도로 우리면 맛 없다는 말 나올텐데.",,,https://www.chosun.com/opinion/palmyeonbong/2025/12/04/UR6N4L5HX5GELOLFR6GH2CIQSU/
"[특징주] “글로벌 제약사와 협업 기대감”… 뉴로핏, 증권사 호평에 3%대 상승 ",https://www.chosun.com/economy/stock-finance/2025/12/04/HA3DEN3DMM2TIYJTMQ3DOMJUG4/,"Thu, 04 Dec 2025 01:02:08 +0000",,"황채영 기자(조선비즈), 조은서 기자(조선비즈)", 4일 오전 뉴로핏 주가가 3% 넘게 오르고 있다. 글로벌 제약사들과 협업 결과가 기대된다는 증권사 분석에 매수세가 몰린 것으로 풀이된다. 이날 오전 10시 1분 기준 뉴로핏은 코스닥시장에서 전 거래일 대비 1100원(3.77%) 오른 3만250원에 거래되고 있다. 개장 직후 주가는 3만4400원까지 뛰며 1년 중 최고가를 경신했다. 한승연 NH투자증권 연,"<img src=""https://www.chosun.com/resizer/v2/GFQTMOLGMVQTCNBQHEZDAZDCGY.jpg?auth=a7c73fbfca2ca3cd3fc71302f914e4faaf5549118bdeda7857d776eb3c6b51ba&smart=true&width=1920&height=1080"" alt=""뉴로핏 로고./뉴로핏 제공"" height=""1080"" width=""1920""/><p>4일 오전 뉴로핏 주가가 3% 넘게 오르고 있다. 글로벌 제약사들과 협업 결과가 기대된다는 증권사 분석에 매수세가 몰린 것으로 풀이된다.</p>",4일 오전 뉴로핏 주가가 3% 넘게 오르고 있다. 글로벌 제약사들과 협업 결과가 기대된다는 증권사 분석에 매수세가 몰린 것으로 풀이된다.,https://www.chosun.com/resizer/v2/GFQTMOLGMVQTCNBQHEZDAZDCGY.jpg?auth=a7c73fbfca2ca3cd3fc71302f914e4faaf5549118bdeda7857d776eb3c6b51ba&smart=true&width=1920&height=1080,,https://www.chosun.com/economy/stock-finance/2025/12/04/HA3DEN3DMM2TIYJTMQ3DOMJUG4/
